Team,Matches,GF,GA,GD,W,L,D,GF_avg,GA_avg,GD_avg,win_perc
Brazil,109,229,105,124,73,18,18,2.0,1.1,0.9,66.97247706422019
Germany,109,226,125,101,67,22,20,1.98,1.36,0.62,61.46788990825688
Italy,83,128,77,51,45,17,21,1.48,1.0,0.48,54.21686746987952
Argentina,81,137,93,44,43,23,15,1.52,1.29,0.23,53.086419753086425
France,66,120,77,43,34,19,13,1.78,1.18,0.6,51.515151515151516
Spain,63,99,72,27,30,18,15,1.57,1.14,0.43,47.61904761904761
England,69,91,64,27,29,19,21,1.31,0.94,0.36,42.028985507246375
Netherlands,50,86,48,38,27,11,12,1.72,1.0,0.72,54.0
Uruguay,56,87,74,13,24,20,12,1.49,1.36,0.13,42.857142857142854
Belgium,48,68,72,-4,20,19,9,1.48,1.4,0.07,41.66666666666667
Russia,45,77,54,23,19,16,10,1.58,1.23,0.35,42.22222222222222
Sweden,51,80,73,7,19,19,13,1.5,1.54,-0.04,37.254901960784316
Poland,34,46,45,1,16,13,5,1.36,1.33,0.03,47.05882352941176
Yugoslavia,37,60,46,14,16,13,8,1.74,1.15,0.6,43.24324324324324
Mexico,57,60,98,-38,16,27,14,1.09,1.54,-0.46,28.07017543859649
Hungary,32,87,57,30,15,14,3,2.53,1.88,0.64,46.875
Portugal,30,49,35,14,14,10,6,1.52,1.21,0.31,46.666666666666664
Switzerland,37,50,64,-14,12,17,8,1.44,1.74,-0.3,32.432432432432435
Austria,29,43,47,-4,12,13,4,1.56,1.53,0.03,41.37931034482759
Croatia,23,35,26,9,11,8,4,1.46,1.2,0.26,47.82608695652174
Chile,33,40,49,-9,11,15,7,1.23,1.47,-0.25,33.33333333333333
Czechoslovakia,30,44,45,-1,11,14,5,1.78,1.33,0.45,36.666666666666664
Denmark,20,30,26,4,9,6,5,1.5,1.33,0.18,45.0
Colombia,22,32,30,2,9,10,3,1.44,1.31,0.12,40.909090909090914
Romania,21,30,32,-2,8,8,5,1.46,1.51,-0.06,38.095238095238095
United States,33,37,62,-25,8,19,6,1.12,1.86,-0.74,24.242424242424242
Paraguay,27,30,38,-8,7,10,10,1.14,1.33,-0.2,25.925925925925924
South Korea,34,34,70,-36,6,19,9,0.98,2.16,-1.18,17.647058823529413
Nigeria,21,23,30,-7,6,12,3,1.08,1.42,-0.34,28.57142857142857
Japan,21,20,29,-9,5,11,5,0.99,1.4,-0.42,23.809523809523807
